,months_as_customer,age,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
134,93,32,250/500,2000,1624.82,0,MALE,PhD,exec-managerial,unmarried,65300,-65600,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,16,1,NO,1,1,NO,78120,17360,8680,52080,N
135,171,34,250/500,2000,1277.25,0,FEMALE,College,exec-managerial,other-relative,84900,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,14,1,NO,1,2,NO,69200,13840,6920,48440,Y
136,200,40,100/300,1000,1439.34,0,FEMALE,High School,sales,other-relative,45300,-20400,Vehicle Theft,NO Collision,Minor Damage,Police,9,1,NO,0,0,NO,3690,410,410,2870,N
137,120,28,250/500,1000,1281.27,0,FEMALE,PhD,tech-support,not-in-family,68900,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,9,3,NO,0,3,NO,65500,6550,6550,52400,N
138,325,46,500/1000,500,1348.83,0,FEMALE,High School,prof-specialty,wife,46300,-77500,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,21,3,NO,1,2,YES,76120,13840,6920,55360,N
139,124,32,250/500,1000,1198.15,0,FEMALE,MD,other-service,not-in-family,0,-43200,Multi-vehicle Collision,Front Collision,Total Loss,Other,19,3,NO,0,2,YES,73560,12260,12260,49040,N
140,211,35,100/300,2000,1221.22,0,MALE,Masters,machine-op-inspct,other-relative,76000,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,2,1,YES,0,1,NO,52030,9460,4730,37840,N
141,287,41,500/1000,2000,968.74,0,MALE,Masters,transport-moving,wife,0,-49000,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,9,1,NO,2,3,NO,5170,470,940,3760,N
142,122,34,250/500,1000,1220.71,0,MALE,PhD,machine-op-inspct,own-child,58600,-28700,Parked Car,NO Collision,Minor Damage,No Authorities Contacted,5,1,NO,2,1,YES,8190,1890,1260,5040,N
143,22,29,250/500,2000,1238.62,6000000,MALE,MD,exec-managerial,other-relative,0,-56200,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,14,1,NO,2,3,NO,70800,7080,14160,49560,Y
144,106,31,500/1000,2000,1320.75,0,FEMALE,JD,farming-fishing,wife,54100,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,20,3,NO,0,3,YES,45630,5070,5070,35490,N
145,398,58,100/300,500,990.98,0,FEMALE,Associate,exec-managerial,wife,0,-57900,Single Vehicle Collision,Front Collision,Major Damage,Police,18,1,YES,2,1,NO,99320,7640,15280,76400,Y
146,214,41,500/1000,500,1398.51,4000000,MALE,Masters,tech-support,not-in-family,0,-57100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,13,3,NO,2,0,NO,64000,12800,6400,44800,Y
147,209,38,100/300,500,1355.08,0,FEMALE,MD,other-service,other-relative,58100,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,21,1,NO,1,1,NO,47300,4730,4730,37840,N
148,82,27,100/300,1000,1384.51,0,MALE,PhD,adm-clerical,not-in-family,13100,-38200,Single Vehicle Collision,Rear Collision,Major Damage,Other,14,1,NO,2,3,NO,71680,8960,8960,53760,Y
149,193,41,250/500,500,847.03,0,FEMALE,JD,craft-repair,not-in-family,0,0,Single Vehicle Collision,Side Collision,Major Damage,Other,1,1,NO,1,0,YES,112320,17280,17280,77760,Y
150,134,32,100/300,1000,1000.06,0,FEMALE,PhD,farming-fishing,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,17,1,NO,1,0,NO,82720,7520,15040,60160,N
151,288,45,100/300,1000,1046.71,0,MALE,Masters,priv-house-serv,husband,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,4,3,NO,2,1,NO,48060,10680,5340,32040,N
152,104,32,250/500,500,1158.03,0,MALE,High School,exec-managerial,own-child,31900,-44600,Multi-vehicle Collision,Rear Collision,Total Loss,Police,23,3,YES,1,3,YES,63570,9780,9780,44010,Y
153,431,54,100/300,1000,1372.27,0,FEMALE,Masters,craft-repair,own-child,17600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,3,NO,2,3,NO,63240,10540,10540,42160,N
154,101,33,100/300,1000,1053.04,7000000,FEMALE,Masters,other-service,own-child,52000,-44500,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,20,3,NO,1,3,NO,54240,9040,9040,36160,Y
155,375,50,100/300,1000,1275.39,0,MALE,Associate,sales,other-relative,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,16,1,YES,2,3,NO,37280,0,0,37280,Y
156,461,61,100/300,2000,1402.75,0,MALE,JD,exec-managerial,husband,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,NO,2,1,YES,72100,7210,14420,50470,N
157,428,59,250/500,500,1344.36,7000000,FEMALE,JD,prof-specialty,other-relative,0,0,Parked Car,NO Collision,Minor Damage,No Authorities Contacted,8,1,NO,2,3,NO,6500,1300,650,4550,N
158,45,38,100/300,1000,1197.71,0,MALE,Masters,machine-op-inspct,not-in-family,29000,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,17,3,NO,2,0,NO,78240,13040,13040,52160,N
159,136,29,100/300,500,1203.24,0,FEMALE,JD,transport-moving,other-relative,62500,-66900,Vehicle Theft,NO Collision,Minor Damage,Police,9,1,NO,2,0,NO,6200,1240,620,4340,N
160,216,36,500/1000,1000,1152.4,0,FEMALE,Associate,priv-house-serv,unmarried,39600,-82400,Parked Car,NO Collision,Minor Damage,Police,0,1,YES,2,3,NO,6160,560,1680,3920,N
161,278,48,500/1000,2000,1142.62,7000000,FEMALE,MD,farming-fishing,not-in-family,0,-54000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,12,1,NO,2,0,NO,76050,11700,11700,52650,N
162,295,48,500/1000,1000,1332.07,0,FEMALE,MD,exec-managerial,unmarried,49700,-59100,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,20,2,NO,2,1,YES,86060,13240,13240,59580,N
163,112,30,500/1000,1000,1166.54,0,FEMALE,Masters,prof-specialty,not-in-family,47700,-59300,Single Vehicle Collision,Front Collision,Major Damage,Fire,3,1,YES,2,0,NO,107900,10790,21580,75530,Y
164,122,34,250/500,500,1495.06,0,FEMALE,Masters,prof-specialty,unmarried,38100,-31400,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,18,3,NO,2,0,YES,99990,18180,18180,63630,N
165,108,29,500/1000,1000,1337.92,0,FEMALE,PhD,armed-forces,not-in-family,71400,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,4,3,NO,2,2,YES,61380,11160,5580,44640,N
166,14,28,250/500,2000,1587.96,0,FEMALE,Associate,craft-repair,unmarried,0,-26900,Single Vehicle Collision,Rear Collision,Major Damage,Fire,18,1,NO,2,1,YES,71280,12960,12960,45360,Y
167,298,45,500/1000,1000,1362.29,0,MALE,High School,farming-fishing,unmarried,0,-51100,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,18,3,NO,0,0,NO,64000,12800,6400,44800,N
168,276,46,250/500,500,1448.84,0,FEMALE,Masters,machine-op-inspct,husband,0,-50000,Parked Car,NO Collision,Trivial Damage,Police,7,1,NO,0,1,NO,5940,660,660,4620,N
169,47,37,250/500,2000,1241.97,0,MALE,High School,other-service,not-in-family,75400,0,Parked Car,NO Collision,Minor Damage,No Authorities Contacted,18,1,NO,1,0,NO,6700,670,670,5360,N
170,222,42,250/500,500,1124.6,0,MALE,Associate,armed-forces,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,YES,0,0,NO,51740,11940,7960,31840,N
171,119,28,250/500,2000,1079.92,0,MALE,High School,machine-op-inspct,husband,88800,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,1,1,NO,0,1,YES,53600,6700,6700,40200,Y
172,73,29,250/500,1000,1447.78,0,MALE,College,protective-serv,wife,35100,-59900,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,YES,1,0,NO,44910,4990,4990,34930,N
173,8,31,250/500,500,1229.16,4000000,FEMALE,MD,transport-moving,wife,0,-88300,Multi-vehicle Collision,Front Collision,Major Damage,Fire,2,3,NO,0,2,YES,48100,11100,7400,29600,N
174,294,44,100/300,1000,1226.49,0,FEMALE,PhD,farming-fishing,unmarried,53900,0,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,3,1,NO,0,1,NO,6100,610,1220,4270,N
175,324,46,100/300,2000,897.89,6000000,MALE,MD,tech-support,wife,0,-41300,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,NO,1,0,YES,79600,15920,15920,47760,N
176,155,34,100/300,500,1706.79,0,MALE,Masters,protective-serv,other-relative,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,1,1,NO,1,1,YES,77040,8560,8560,59920,N
177,261,45,250/500,1000,1254.18,0,FEMALE,PhD,prof-specialty,other-relative,0,-45100,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,16,1,YES,0,1,NO,62590,11380,11380,39830,N
178,245,40,500/1000,500,885.08,0,FEMALE,Masters,armed-forces,other-relative,27000,-58900,Single Vehicle Collision,Front Collision,Total Loss,Other,0,1,YES,0,1,NO,85150,13100,13100,58950,N
179,235,39,100/300,500,1046.58,4000000,MALE,MD,tech-support,wife,0,-31700,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,1,1,NO,2,1,NO,4950,450,900,3600,N
180,53,36,500/1000,2000,1712.68,0,MALE,Associate,handlers-cleaners,not-in-family,72200,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,17,3,NO,2,0,YES,51100,10220,5110,35770,N
181,426,54,500/1000,2000,1097.71,0,FEMALE,Masters,adm-clerical,not-in-family,29600,-22300,Single Vehicle Collision,Side Collision,Minor Damage,Police,13,1,YES,2,3,NO,100800,16800,16800,67200,N
182,111,27,250/500,500,1363.77,4000000,FEMALE,Masters,tech-support,husband,51100,0,Single Vehicle Collision,Side Collision,Total Loss,Police,12,1,YES,2,3,NO,90970,16540,16540,57890,N
183,86,26,100/300,500,1382.88,7000000,MALE,JD,tech-support,other-relative,0,-30300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,11,1,NO,1,1,YES,81840,14880,7440,59520,Y
184,296,46,100/300,1000,1141.35,7000000,MALE,Masters,craft-repair,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,18,1,NO,0,2,NO,54900,5490,5490,43920,N
185,125,35,500/1000,500,1054.83,7000000,MALE,JD,tech-support,husband,0,-51300,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,2,3,NO,88660,8060,16120,64480,Y
186,177,34,100/300,2000,1057.77,0,FEMALE,JD,tech-support,unmarried,0,-57700,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,22,3,NO,1,1,NO,18000,2250,2250,13500,N
187,238,39,250/500,2000,1488.02,0,FEMALE,JD,protective-serv,other-relative,0,-39200,Vehicle Theft,NO Collision,Minor Damage,Police,9,1,YES,1,3,YES,5500,1100,550,3850,N
188,81,25,100/300,500,920.3,5000000,FEMALE,High School,tech-support,own-child,51000,-67900,Multi-vehicle Collision,Rear Collision,Major Damage,Other,11,3,NO,1,0,NO,73920,13440,6720,53760,Y
189,128,28,500/1000,1000,986.53,0,FEMALE,High School,adm-clerical,other-relative,62700,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,11,1,NO,0,2,YES,101860,18520,18520,64820,N
190,449,57,250/500,2000,1440.68,0,MALE,Associate,tech-support,own-child,25000,0,Parked Car,NO Collision,Minor Damage,No Authorities Contacted,8,1,YES,0,1,YES,5390,980,980,3430,N
191,252,39,250/500,1000,1086.21,0,MALE,JD,farming-fishing,unmarried,68500,-57500,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,1,2,NO,50490,5610,5610,39270,N
192,359,47,100/300,2000,1367.68,0,FEMALE,MD,handlers-cleaners,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Police,13,1,NO,0,3,NO,55500,5550,11100,38850,N
193,19,32,500/1000,1000,1215.85,0,MALE,High School,other-service,husband,42900,-90200,Vehicle Theft,NO Collision,Minor Damage,Police,8,1,YES,1,1,YES,7040,1280,640,5120,N
194,73,26,250/500,2000,1191.19,4000000,MALE,MD,farming-fishing,not-in-family,29300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,9,3,NO,0,1,YES,40160,5020,0,35140,N
195,285,44,500/1000,1000,1594.45,0,MALE,High School,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,2,YES,2,3,NO,55680,6960,6960,41760,N
196,196,36,250/500,2000,1463.07,0,MALE,MD,armed-forces,own-child,0,0,Vehicle Theft,NO Collision,Trivial Damage,Police,3,1,NO,1,1,NO,5300,530,530,4240,Y
197,223,43,250/500,500,1734.09,0,FEMALE,MD,adm-clerical,not-in-family,0,0,Parked Car,NO Collision,Trivial Damage,No Authorities Contacted,6,1,YES,0,3,NO,5200,650,650,3900,N
198,328,48,250/500,500,1411.43,0,MALE,Masters,armed-forces,own-child,45100,-32800,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,17,1,YES,2,1,NO,59400,5940,11880,41580,N
199,285,43,100/300,2000,1512.58,0,FEMALE,College,sales,other-relative,47600,0,Vehicle Theft,NO Collision,Minor Damage,Police,7,1,NO,1,1,NO,2520,280,280,1960,N
200,30,31,250/500,2000,1153.35,0,MALE,PhD,craft-repair,not-in-family,0,0,Vehicle Theft,NO Collision,Trivial Damage,Police,9,1,NO,2,1,YES,5760,960,960,3840,N
201,342,49,250/500,500,1722.95,0,MALE,PhD,transport-moving,not-in-family,63100,-13800,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,3,1,NO,2,0,YES,76700,7670,7670,61360,N
202,219,39,250/500,2000,1281.07,7000000,FEMALE,High School,protective-serv,unmarried,0,0,Parked Car,NO Collision,Trivial Damage,Police,6,1,NO,0,2,NO,5920,740,740,4440,N
203,468,62,100/300,500,1011.92,0,MALE,PhD,machine-op-inspct,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,7,3,YES,0,3,NO,64350,7150,7150,50050,N
204,241,39,250/500,2000,1042.26,0,MALE,JD,sales,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,1,2,NO,19080,4240,2120,12720,N
205,223,43,500/1000,500,1235.1,0,FEMALE,Masters,tech-support,not-in-family,66400,-34400,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,NO,2,1,NO,54400,5440,5440,43520,N
206,128,32,100/300,2000,768.91,0,FEMALE,College,sales,other-relative,0,-39300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,0,1,NO,1,0,NO,59800,5980,5980,47840,Y
207,124,29,500/1000,500,1301.72,0,MALE,Masters,handlers-cleaners,husband,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,14,3,NO,0,3,YES,72000,7200,7200,57600,N
208,343,48,250/500,500,1451.54,3000000,MALE,JD,adm-clerical,husband,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,13,4,NO,2,3,NO,65070,7230,14460,43380,N
209,404,53,250/500,500,767.14,0,MALE,Associate,sales,not-in-family,25500,-36700,Parked Car,NO Collision,Trivial Damage,Police,8,1,NO,0,1,NO,8800,1760,880,6160,N
210,63,24,250/500,2000,1620.89,0,FEMALE,High School,handlers-cleaners,other-relative,0,0,Vehicle Theft,NO Collision,Minor Damage,Police,7,1,NO,2,0,NO,6120,1020,1020,4080,N
211,210,37,500/1000,2000,1048.46,0,MALE,High School,priv-house-serv,not-in-family,59900,0,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,9,1,NO,1,2,NO,7080,1180,590,5310,N
212,335,50,100/300,1000,1538.26,6000000,MALE,High School,sales,other-relative,62200,-31400,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,12,3,YES,2,3,YES,34320,8580,4290,21450,N
213,11,40,500/1000,2000,1217.69,0,FEMALE,MD,prof-specialty,wife,24000,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,NO,1,0,NO,53460,9720,9720,34020,Y
214,142,33,100/300,2000,1362.64,5000000,FEMALE,JD,exec-managerial,wife,0,0,Single Vehicle Collision,Side Collision,Total Loss,Other,11,1,YES,1,3,NO,81360,6780,13560,61020,Y
215,272,43,100/300,1000,1279.13,0,MALE,PhD,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,5,3,NO,1,2,YES,81070,7370,14740,58960,Y
216,69,26,100/300,2000,924.72,0,FEMALE,High School,machine-op-inspct,unmarried,0,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,14,1,NO,2,2,NO,63120,5260,10520,47340,N
217,38,28,250/500,1000,1019.44,0,MALE,Masters,transport-moving,not-in-family,0,-39700,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,17,1,NO,2,1,NO,7200,1440,720,5040,N
218,328,46,500/1000,500,1314.6,0,FEMALE,MD,prof-specialty,not-in-family,24800,0,Single Vehicle Collision,Rear Collision,Total Loss,Other,0,1,NO,2,3,NO,70290,12780,6390,51120,Y
219,281,43,100/300,1000,1515.18,6000000,MALE,College,priv-house-serv,other-relative,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,21,3,NO,1,0,NO,60190,9260,9260,41670,N
220,246,44,250/500,2000,1649.18,0,MALE,College,farming-fishing,other-relative,0,-58600,Single Vehicle Collision,Front Collision,Major Damage,Other,18,1,YES,1,2,YES,61380,11160,5580,44640,Y
221,298,49,250/500,500,1451.01,0,FEMALE,College,other-service,own-child,47800,0,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,17,1,NO,2,2,NO,28100,2810,5620,19670,N
222,330,50,500/1000,1000,978.46,0,FEMALE,High School,sales,husband,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,19,1,YES,0,0,NO,49060,8920,8920,31220,N
223,362,50,250/500,500,1198.34,4000000,MALE,Associate,sales,wife,53000,-72500,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,NO,1,1,NO,57060,6340,6340,44380,N
224,241,38,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,not-in-family,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,23,3,NO,0,3,YES,77880,12980,12980,51920,N
225,245,41,500/1000,2000,1212.0,0,MALE,Masters,exec-managerial,unmarried,24400,-60500,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,4,1,YES,0,1,YES,73500,7350,14700,51450,N
226,371,52,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,own-child,0,-37100,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,2,2,YES,2,0,NO,88920,6840,13680,68400,N
227,343,52,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,not-in-family,0,0,Single Vehicle Collision,Front Collision,Major Damage,Other,2,1,NO,0,2,NO,47630,12990,4330,30310,Y
228,377,53,100/300,500,1693.63,0,FEMALE,MD,craft-repair,unmarried,0,-64000,Multi-vehicle Collision,Front Collision,Total Loss,Fire,10,3,YES,1,3,NO,59040,6560,6560,45920,N
229,154,37,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,other-relative,0,-67800,Single Vehicle Collision,Rear Collision,Minor Damage,Other,2,1,NO,0,3,NO,79530,14460,7230,57840,N
230,166,34,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,wife,65600,-68200,Single Vehicle Collision,Side Collision,Total Loss,Other,18,1,NO,0,2,YES,53680,4880,4880,43920,N
231,298,46,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,own-child,36900,-55000,Single Vehicle Collision,Side Collision,Minor Damage,Police,18,1,NO,2,3,YES,33550,3050,6100,24400,N
232,235,42,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,husband,39900,-60200,Multi-vehicle Collision,Side Collision,Total Loss,Other,7,4,NO,2,1,YES,69100,6910,6910,55280,N
233,172,35,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,own-child,63600,-68700,Multi-vehicle Collision,Rear Collision,Major Damage,Police,19,3,NO,2,0,NO,79750,14500,14500,50750,N
234,27,28,100/300,2000,1371.78,0,MALE,JD,farming-fishing,other-relative,0,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,NO,0,2,YES,53600,5360,10720,37520,Y
235,428,54,100/300,2000,1506.21,0,MALE,Masters,transport-moving,unmarried,0,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,NO,1,0,NO,76560,12760,6380,57420,N
236,99,32,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,unmarried,0,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,YES,1,1,NO,41130,4570,4570,31990,N
237,107,26,500/1000,2000,932.14,0,MALE,MD,sales,own-child,40600,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,NO,2,3,NO,78650,14300,7150,57200,Y
238,272,41,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,own-child,33300,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,NO,1,1,NO,71060,6460,12920,51680,N
239,151,37,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,own-child,54000,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,YES,1,1,NO,38830,3530,3530,31770,N
240,249,43,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,own-child,0,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,NO,0,0,YES,53500,5350,5350,42800,N
241,177,38,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,other-relative,0,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,YES,2,0,NO,73700,7370,7370,58960,Y
242,190,40,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,other-relative,36900,-53700,Parked Car,NO Collision,Trivial Damage,No Authorities Contacted,10,1,NO,2,1,YES,6300,630,630,5040,N
243,174,36,100/300,2000,1278.75,0,FEMALE,College,tech-support,own-child,53200,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,NO,2,2,NO,65400,10900,10900,43600,N
244,95,28,250/500,1000,773.99,0,MALE,Associate,armed-forces,other-relative,0,-70300,Vehicle Theft,NO Collision,Trivial Damage,No Authorities Contacted,3,1,YES,1,2,NO,3200,640,320,2240,N
245,371,51,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,other-relative,60300,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,YES,0,3,YES,75400,7540,15080,52780,Y
246,2,28,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,not-in-family,0,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,YES,0,2,YES,58140,6460,6460,45220,N
247,269,44,100/300,500,1297.75,4000000,FEMALE,JD,other-service,own-child,0,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,NO,0,1,NO,98670,15180,15180,68310,Y
248,101,27,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,other-relative,25900,0,Parked Car,NO Collision,Minor Damage,No Authorities Contacted,7,1,NO,0,3,NO,5900,1180,590,4130,N
249,94,30,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,other-relative,0,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,NO,1,3,YES,64100,6410,6410,51280,N
250,117,28,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,unmarried,47500,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,YES,0,1,NO,55440,5040,10080,40320,Y
251,111,27,250/500,500,1459.97,5000000,MALE,MD,sales,other-relative,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,NO,1,2,NO,80850,7350,14700,58800,Y
252,242,40,100/300,500,1238.65,0,FEMALE,High School,transport-moving,husband,0,-44600,Vehicle Theft,NO Collision,Trivial Damage,Police,5,1,YES,1,1,NO,7480,680,680,6120,N
253,440,61,250/500,500,1050.76,0,MALE,PhD,transport-moving,wife,41500,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,NO,2,3,NO,53640,5960,5960,41720,Y
254,20,23,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,wife,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,NO,2,2,NO,63250,5750,11500,46000,Y
255,461,57,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,own-child,0,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,NO,0,1,NO,59040,9840,9840,39360,N
256,208,36,250/500,500,1153.49,0,MALE,Associate,craft-repair,other-relative,0,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,YES,1,0,YES,50500,10100,5050,35350,N
257,279,43,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,other-relative,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,YES,0,1,NO,57690,6410,12820,38460,Y
258,244,40,100/300,500,1342.8,0,FEMALE,MD,sales,husband,0,0,Vehicle Theft,NO Collision,Trivial Damage,Police,2,1,YES,1,3,YES,5940,660,660,4620,N
259,134,30,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,unmarried,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,NO,0,2,YES,47790,5310,5310,37170,Y
260,122,29,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,other-relative,0,-47100,Parked Car,NO Collision,Trivial Damage,No Authorities Contacted,17,1,NO,0,1,NO,3850,350,350,3150,N
261,156,31,100/300,2000,1134.08,0,MALE,PhD,other-service,husband,0,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,NO,2,0,NO,59000,5900,5900,47200,Y
262,232,43,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,husband,0,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,NO,0,1,NO,70600,7060,14120,49420,Y
263,244,40,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,other-relative,0,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,NO,1,1,NO,61490,5590,11180,44720,N
264,84,30,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,wife,44400,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,NO,1,0,YES,57640,5240,10480,41920,N
265,394,57,250/500,500,1401.2,0,FEMALE,High School,craft-repair,own-child,51500,0,Vehicle Theft,NO Collision,Trivial Damage,Police,9,1,NO,1,0,NO,6890,1060,1060,4770,N
266,246,45,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,wife,34400,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,NO,2,2,NO,53280,11840,5920,35520,Y
267,35,29,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,unmarried,52100,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,NO,0,0,NO,78300,15660,7830,54810,N
268,156,37,100/300,500,1080.13,0,MALE,Associate,protective-serv,other-relative,0,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,YES,0,3,NO,41490,4610,4610,32270,N
269,195,36,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,wife,57800,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,YES,2,3,YES,68970,12540,6270,50160,N
