,months_as_customer,age,policy_deductable,policy_annual_premium,umbrella_limit,capital-gains,capital-loss,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,injury_claim,property_claim,vehicle_claim,policy_csl,insured_sex,insured_education_level,incident_severity,property_damage,police_report_available,fraud_reported,insured_occupation_armed-forces,insured_occupation_craft-repair,insured_occupation_exec-managerial,insured_occupation_farming-fishing,insured_occupation_handlers-cleaners,insured_occupation_machine-op-inspct,insured_occupation_other-service,insured_occupation_priv-house-serv,insured_occupation_prof-specialty,insured_occupation_protective-serv,insured_occupation_sales,insured_occupation_tech-support,insured_occupation_transport-moving,insured_relationship_not-in-family,insured_relationship_other-relative,insured_relationship_own-child,insured_relationship_unmarried,insured_relationship_wife,incident_type_Parked Car,incident_type_Single Vehicle Collision,incident_type_Vehicle Theft,collision_type_NO Collision,collision_type_Rear Collision,collision_type_Side Collision,authorities_contacted_Fire,authorities_contacted_No Authorities Contacted,authorities_contacted_Other,authorities_contacted_Police
116,107,31,2000,1374.22,0,62000,-63100,16,1,0,3,51260,9320,9320,32620,5,0,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
117,225,41,2000,1103.58,0,41200,-36200,20,3,2,2,70400,6400,12800,51200,5,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
118,164,38,2000,1269.76,0,44300,0,4,1,1,3,90000,18000,9000,63000,2,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
119,245,39,500,964.79,8000000,58000,0,7,3,0,1,72820,13240,6620,52960,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
120,255,41,2000,1167.3,4000000,0,0,22,1,2,0,69300,13860,13860,41580,5,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0
121,206,36,500,1625.45,4000000,0,-53700,11,1,2,1,76560,12760,12760,51040,5,0,6,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
122,203,38,500,1394.43,0,0,0,7,1,0,1,55440,0,6160,49280,2,0,4,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
123,22,25,2000,1053.24,0,51100,0,0,4,1,0,77130,8570,17140,51420,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
124,211,35,500,1040.75,0,0,0,1,1,1,1,42000,7000,7000,28000,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
125,206,39,1000,1302.4,6000000,47200,-69700,12,3,2,3,36300,3300,9900,23100,2,1,1,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
126,166,38,2000,1588.55,0,59600,-32100,8,1,0,0,40320,5760,5760,28800,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
127,165,32,500,1399.26,0,70500,0,9,1,2,0,3960,330,660,2970,5,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
128,274,43,2000,1352.31,0,40700,-47300,22,1,0,3,63840,10640,10640,42560,1,1,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
129,81,28,1000,1139.0,6000000,42400,0,0,3,1,2,44730,4970,4970,34790,2,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,280,45,1000,1397.67,0,57900,0,0,3,1,2,84720,14120,14120,56480,2,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
131,194,39,500,823.17,0,0,0,3,3,2,2,61500,6150,12300,43050,2,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
132,112,27,500,965.13,0,60000,-54800,21,3,0,1,51000,8500,8500,34000,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
133,24,33,1000,1922.84,0,0,-45200,0,1,2,1,46800,4680,9360,32760,5,0,2,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
134,93,32,2000,1624.82,0,65300,-65600,16,1,1,1,78120,17360,8680,52080,2,1,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
135,171,34,2000,1277.25,0,84900,0,14,1,1,2,69200,13840,6920,48440,2,0,3,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
136,200,40,1000,1439.34,0,45300,-20400,9,1,0,0,3690,410,410,2870,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
137,120,28,1000,1281.27,0,68900,0,9,3,0,3,65500,6550,6550,52400,2,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
138,325,46,500,1348.83,0,46300,-77500,21,3,1,2,76120,13840,6920,55360,5,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
139,124,32,1000,1198.15,0,0,-43200,19,3,0,2,73560,12260,12260,49040,2,0,6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,211,35,2000,1221.22,0,76000,0,2,1,0,1,52030,9460,4730,37840,1,1,4,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
141,287,41,2000,968.74,0,0,-49000,9,1,2,3,5170,470,940,3760,5,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
142,122,34,1000,1220.71,0,58600,-28700,5,1,2,1,8190,1890,1260,5040,2,1,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
143,22,29,2000,1238.62,6000000,0,-56200,14,1,2,3,70800,7080,14160,49560,2,1,6,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
144,106,31,2000,1320.75,0,54100,0,20,3,0,3,45630,5070,5070,35490,5,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
145,398,58,500,990.98,0,0,-57900,18,1,2,1,99320,7640,15280,76400,1,0,5,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
146,214,41,500,1398.51,4000000,0,-57100,13,3,2,0,64000,12800,6400,44800,5,1,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
147,209,38,500,1355.08,0,58100,0,21,1,1,1,47300,4730,4730,37840,1,0,6,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
148,82,27,1000,1384.51,0,13100,-38200,14,1,2,3,71680,8960,8960,53760,1,1,7,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
149,193,41,500,847.03,0,0,0,1,1,1,0,112320,17280,17280,77760,2,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
150,134,32,1000,1000.06,0,0,0,17,1,1,0,82720,7520,15040,60160,1,0,7,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
151,288,45,1000,1046.71,0,0,0,4,3,2,1,48060,10680,5340,32040,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
152,104,32,500,1158.03,0,31900,-44600,23,3,1,3,63570,9780,9780,44010,2,1,2,4,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
153,431,54,1000,1372.27,0,17600,0,13,3,2,3,63240,10540,10540,42160,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
154,101,33,1000,1053.04,7000000,52000,-44500,20,3,1,3,54240,9040,9040,36160,1,0,4,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
155,375,50,1000,1275.39,0,0,0,16,1,2,3,37280,0,0,37280,1,1,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
156,461,61,2000,1402.75,0,0,0,10,3,2,1,72100,7210,14420,50470,1,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
157,428,59,500,1344.36,7000000,0,0,8,1,2,3,6500,1300,650,4550,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
158,45,38,1000,1197.71,0,29000,0,17,3,2,0,78240,13040,13040,52160,1,1,4,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,136,29,500,1203.24,0,62500,-66900,9,1,2,0,6200,1240,620,4340,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
160,216,36,1000,1152.4,0,39600,-82400,0,1,2,3,6160,560,1680,3920,5,0,5,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
161,278,48,2000,1142.62,7000000,0,-54000,12,1,2,0,76050,11700,11700,52650,5,0,6,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
162,295,48,1000,1332.07,0,49700,-59100,20,2,2,1,86060,13240,13240,59580,5,0,6,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
163,112,30,1000,1166.54,0,47700,-59300,3,1,2,0,107900,10790,21580,75530,5,0,4,3,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
164,122,34,500,1495.06,0,38100,-31400,18,3,2,0,99990,18180,18180,63630,2,0,4,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
165,108,29,1000,1337.92,0,71400,0,4,3,2,2,61380,11160,5580,44640,5,0,7,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
166,14,28,2000,1587.96,0,0,-26900,18,1,2,1,71280,12960,12960,45360,2,0,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0
167,298,45,1000,1362.29,0,0,-51100,18,3,0,0,64000,12800,6400,44800,5,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
168,276,46,500,1448.84,0,0,-50000,7,1,0,1,5940,660,660,4620,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
169,47,37,2000,1241.97,0,75400,0,18,1,1,0,6700,670,670,5360,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
170,222,42,500,1124.6,0,0,0,23,3,0,0,51740,11940,7960,31840,2,1,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
171,119,28,2000,1079.92,0,88800,0,1,1,0,1,53600,6700,6700,40200,2,1,2,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
172,73,29,1000,1447.78,0,35100,-59900,15,3,1,0,44910,4990,4990,34930,2,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
173,8,31,500,1229.16,4000000,0,-88300,2,3,0,2,48100,11100,7400,29600,2,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
174,294,44,1000,1226.49,0,53900,0,3,1,0,1,6100,610,1220,4270,1,0,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0
175,324,46,2000,897.89,6000000,0,-41300,13,1,1,0,79600,15920,15920,47760,1,1,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
176,155,34,500,1706.79,0,0,0,1,1,1,1,77040,8560,8560,59920,1,1,4,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
177,261,45,1000,1254.18,0,0,-45100,16,1,0,1,62590,11380,11380,39830,2,0,7,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
178,245,40,500,885.08,0,27000,-58900,0,1,0,1,85150,13100,13100,58950,5,0,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
179,235,39,500,1046.58,4000000,0,-31700,1,1,2,1,4950,450,900,3600,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
180,53,36,2000,1712.68,0,72200,0,17,3,2,0,51100,10220,5110,35770,5,1,5,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
181,426,54,2000,1097.71,0,29600,-22300,13,1,2,3,100800,16800,16800,67200,5,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
182,111,27,500,1363.77,4000000,51100,0,12,1,2,3,90970,16540,16540,57890,2,0,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
183,86,26,500,1382.88,7000000,0,-30300,11,1,1,1,81840,14880,7440,59520,1,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
184,296,46,1000,1141.35,7000000,0,0,18,1,0,2,54900,5490,5490,43920,1,1,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,125,35,500,1054.83,7000000,0,-51300,17,1,2,3,88660,8060,16120,64480,5,1,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
186,177,34,2000,1057.77,0,0,-57700,22,3,1,1,18000,2250,2250,13500,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,238,39,2000,1488.02,0,0,-39200,9,1,1,3,5500,1100,550,3850,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
188,81,25,500,920.3,5000000,51000,-67900,11,3,1,0,73920,13440,6720,53760,1,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
189,128,28,1000,986.53,0,62700,0,11,1,0,2,101860,18520,18520,64820,5,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
190,449,57,2000,1440.68,0,25000,0,8,1,0,1,5390,980,980,3430,2,1,5,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
191,252,39,1000,1086.21,0,68500,-57500,18,1,1,2,50490,5610,5610,39270,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1
192,359,47,2000,1367.68,0,0,0,13,1,0,3,55500,5550,11100,38850,1,0,6,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
193,19,32,1000,1215.85,0,42900,-90200,8,1,1,1,7040,1280,640,5120,5,1,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
194,73,26,2000,1191.19,4000000,29300,0,9,3,0,1,40160,5020,0,35140,2,1,6,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
195,285,44,1000,1594.45,0,0,0,17,2,2,3,55680,6960,6960,41760,5,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
196,196,36,2000,1463.07,0,0,0,3,1,1,1,5300,530,530,4240,2,1,6,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
197,223,43,500,1734.09,0,0,0,6,1,0,3,5200,650,650,3900,2,0,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
198,328,48,500,1411.43,0,45100,-32800,17,1,2,1,59400,5940,11880,41580,2,1,4,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
199,285,43,2000,1512.58,0,47600,0,7,1,1,1,2520,280,280,1960,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
200,30,31,2000,1153.35,0,0,0,9,1,2,1,5760,960,960,3840,2,1,7,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1
201,342,49,500,1722.95,0,63100,-13800,3,1,2,0,76700,7670,7670,61360,2,1,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
202,219,39,2000,1281.07,7000000,0,0,6,1,0,2,5920,740,740,4440,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1
203,468,62,500,1011.92,0,0,0,7,3,0,3,64350,7150,7150,50050,1,1,7,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
204,241,39,2000,1042.26,0,0,0,21,3,1,2,19080,4240,2120,12720,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
205,223,43,500,1235.1,0,66400,-34400,14,1,2,1,54400,5440,5440,43520,5,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1
206,128,32,2000,768.91,0,0,-39300,0,1,1,0,59800,5980,5980,47840,1,0,3,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
207,124,29,500,1301.72,0,0,0,14,3,0,3,72000,7200,7200,57600,5,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
208,343,48,500,1451.54,3000000,0,0,13,4,2,3,65070,7230,14460,43380,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
209,404,53,500,767.14,0,25500,-36700,8,1,0,1,8800,1760,880,6160,2,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
210,63,24,2000,1620.89,0,0,0,7,1,2,0,6120,1020,1020,4080,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
211,210,37,2000,1048.46,0,59900,0,9,1,1,2,7080,1180,590,5310,5,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
212,335,50,1000,1538.26,6000000,62200,-31400,12,3,2,3,34320,8580,4290,21450,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
213,11,40,2000,1217.69,0,24000,0,6,3,1,0,53460,9720,9720,34020,5,0,6,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
214,142,33,2000,1362.64,5000000,0,0,11,1,1,3,81360,6780,13560,61020,1,0,1,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
215,272,43,1000,1279.13,0,0,0,5,3,1,2,81070,7370,14740,58960,1,1,7,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
216,69,26,2000,924.72,0,0,0,14,1,2,2,63120,5260,10520,47340,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
217,38,28,1000,1019.44,0,0,-39700,17,1,2,1,7200,1440,720,5040,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
218,328,46,500,1314.6,0,24800,0,0,1,2,3,70290,12780,6390,51120,5,0,6,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
219,281,43,1000,1515.18,6000000,0,0,21,3,1,0,60190,9260,9260,41670,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
220,246,44,2000,1649.18,0,0,-58600,18,1,1,2,61380,11160,5580,44640,2,1,3,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
221,298,49,500,1451.01,0,47800,0,17,1,2,2,28100,2810,5620,19670,2,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
222,330,50,1000,978.46,0,0,0,19,1,0,0,49060,8920,8920,31220,5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
223,362,50,500,1198.34,4000000,53000,-72500,17,3,1,1,57060,6340,6340,44380,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
224,241,38,2000,1003.23,0,0,0,23,3,0,3,77880,12980,12980,51920,1,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
225,245,41,2000,1212.0,0,24400,-60500,4,1,0,1,73500,7350,14700,51450,5,1,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
226,371,52,1000,1242.96,7000000,0,-37100,2,2,2,0,88920,6840,13680,68400,2,0,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
227,343,52,1000,1053.02,0,0,0,2,1,0,2,47630,12990,4330,30310,5,0,5,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
228,377,53,500,1693.63,0,0,-64000,10,3,1,3,59040,6560,6560,45920,1,0,6,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
229,154,37,1000,2047.59,0,0,-67800,2,1,0,3,79530,14460,7230,57840,2,0,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
230,166,34,1000,1083.72,0,65600,-68200,18,1,0,2,53680,4880,4880,43920,1,0,2,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0
231,298,46,1000,1138.42,6000000,36900,-55000,18,1,2,3,33550,3050,6100,24400,5,1,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
232,235,42,500,1072.62,0,39900,-60200,7,4,2,1,69100,6910,6910,55280,2,0,4,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
233,172,35,2000,1219.04,0,63600,-68700,19,3,2,0,79750,14500,14500,50750,1,1,6,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
234,27,28,2000,1371.78,0,0,-32500,10,3,0,2,53600,5360,10720,37520,1,1,1,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
235,428,54,2000,1506.21,0,0,-24400,16,3,1,0,76560,12760,6380,57420,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
236,99,32,1000,1058.21,3000000,0,0,17,1,1,1,41130,4570,4570,31990,1,1,1,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
